As Of,NAV per Share,Shares Outstanding
"Feb 26, 2019",107.43,"539,400,000.00"
"Feb 25, 2019",107.25,"539,000,000.00"
"Feb 22, 2019",107.30,"538,800,000.00"
"Feb 21, 2019",107.08,"538,500,000.00"
"Feb 20, 2019",107.29,"538,300,000.00"
"Feb 19, 2019",107.33,"538,200,000.00"
"Feb 15, 2019",107.18,"537,900,000.00"
"Feb 14, 2019",107.19,"537,900,000.00"
"Feb 13, 2019",106.97,"537,700,000.00"
"Feb 12, 2019",107.08,"537,500,000.00"
"Feb 11, 2019",107.16,"536,300,000.00"
"Feb 08, 2019",107.28,"536,100,000.00"
"Feb 07, 2019",107.18,"536,100,000.00"
"Feb 06, 2019",106.97,"536,000,000.00"
"Feb 05, 2019",106.95,"534,600,000.00"
"Feb 04, 2019",106.76,"534,000,000.00"
"Feb 01, 2019",106.87,"534,400,000.00"
"Jan 31, 2019",107.41,"534,900,000.00"
"Jan 30, 2019",106.98,"534,900,000.00"
"Jan 29, 2019",106.85,"534,900,000.00"
"Jan 28, 2019",106.65,"536,100,000.00"
"Jan 25, 2019",106.58,"535,900,000.00"
"Jan 24, 2019",106.74,"535,900,000.00"
"Jan 23, 2019",106.48,"536,500,000.00"
"Jan 22, 2019",106.55,"536,500,000.00"
"Jan 18, 2019",106.27,"537,700,000.00"
"Jan 17, 2019",106.35,"537,500,000.00"
"Jan 16, 2019",106.38,"540,400,000.00"
"Jan 15, 2019",106.41,"544,500,000.00"
"Jan 14, 2019",106.41,"544,000,000.00"
"Jan 11, 2019",106.47,"543,800,000.00"
"Jan 10, 2019",106.29,"543,200,000.00"
"Jan 09, 2019",106.35,"542,500,000.00"
"Jan 08, 2019",106.35,"542,000,000.00"
"Jan 07, 2019",106.48,"541,800,000.00"
"Jan 04, 2019",106.51,"540,800,000.00"
"Jan 03, 2019",107.00,"538,900,000.00"
"Jan 02, 2019",106.42,"537,100,000.00"
"Dec 31, 2018",106.27,"535,700,000.00"
"Dec 28, 2018",106.02,"534,800,000.00"
"Dec 27, 2018",105.98,"533,100,000.00"
"Dec 26, 2018",105.74,"534,100,000.00"
"Dec 24, 2018",105.99,"534,100,000.00"
"Dec 21, 2018",105.80,"533,500,000.00"
"Dec 20, 2018",105.84,"530,000,000.00"
"Dec 19, 2018",106.03,"529,800,000.00"
"Dec 18, 2018",105.76,"529,200,000.00"
"Dec 17, 2018",105.72,"528,000,000.00"
"Dec 14, 2018",105.53,"526,300,000.00"
"Dec 13, 2018",105.41,"522,600,000.00"
"Dec 12, 2018",105.38,"521,400,000.00"
"Dec 11, 2018",105.42,"518,700,000.00"
"Dec 10, 2018",105.49,"518,200,000.00"
"Dec 07, 2018",105.47,"518,000,000.00"
"Dec 06, 2018",105.28,"517,800,000.00"
"Dec 04, 2018",105.10,"516,000,000.00"
"Dec 03, 2018",104.77,"511,800,000.00"
"Nov 30, 2018",104.83,"511,200,000.00"
"Nov 29, 2018",104.77,"511,000,000.00"
"Nov 28, 2018",104.76,"514,300,000.00"
"Nov 27, 2018",104.68,"514,200,000.00"
"Nov 26, 2018",104.64,"514,000,000.00"
"Nov 23, 2018",104.69,"514,000,000.00"
"Nov 21, 2018",104.65,"513,800,000.00"
"Nov 20, 2018",104.66,"513,600,000.00"
"Nov 19, 2018",104.72,"513,100,000.00"
"Nov 16, 2018",104.66,"512,700,000.00"
"Nov 15, 2018",104.36,"511,200,000.00"
"Nov 14, 2018",104.43,"510,700,000.00"
"Nov 13, 2018",104.34,"510,700,000.00"
"Nov 12, 2018",104.20,"510,700,000.00"
"Nov 09, 2018",104.18,"510,500,000.00"
"Nov 08, 2018",103.99,"509,300,000.00"
"Nov 07, 2018",104.10,"509,100,000.00"
"Nov 06, 2018",104.02,"508,800,000.00"
"Nov 05, 2018",104.02,"508,200,000.00"
"Nov 02, 2018",103.91,"507,200,000.00"
"Nov 01, 2018",104.29,"503,300,000.00"
"Oct 31, 2018",104.47,"503,200,000.00"
"Oct 30, 2018",104.71,"505,200,000.00"
"Oct 29, 2018",104.88,"505,200,000.00"
"Oct 26, 2018",104.94,"505,000,000.00"
"Oct 25, 2018",104.69,"506,900,000.00"
"Oct 24, 2018",104.73,"506,900,000.00"
"Oct 23, 2018",104.55,"506,900,000.00"
"Oct 22, 2018",104.42,"508,900,000.00"
"Oct 19, 2018",104.38,"508,900,000.00"
"Oct 18, 2018",104.57,"509,900,000.00"
"Oct 17, 2018",104.59,"509,900,000.00"
"Oct 16, 2018",104.70,"509,900,000.00"
"Oct 15, 2018",104.64,"509,900,000.00"
"Oct 12, 2018",104.77,"509,900,000.00"
"Oct 11, 2018",104.83,"509,700,000.00"
"Oct 10, 2018",104.35,"511,700,000.00"
"Oct 09, 2018",104.48,"530,700,000.00"
"Oct 08, 2018",104.35,"530,700,000.00"
"Oct 05, 2018",104.32,"530,700,000.00"
"Oct 04, 2018",104.51,"530,700,000.00"
"Oct 03, 2018",104.76,"530,600,000.00"
"Oct 02, 2018",105.34,"530,500,000.00"
"Oct 01, 2018",105.21,"530,500,000.00"
"Sep 28, 2018",105.54,"530,500,000.00"
"Sep 27, 2018",105.53,"530,400,000.00"
"Sep 26, 2018",105.46,"530,300,000.00"
"Sep 25, 2018",105.22,"530,200,000.00"
"Sep 24, 2018",105.35,"530,100,000.00"
"Sep 21, 2018",105.38,"530,100,000.00"
"Sep 20, 2018",105.30,"530,000,000.00"
"Sep 19, 2018",105.19,"529,900,000.00"
"Sep 18, 2018",105.37,"530,600,000.00"
"Sep 17, 2018",105.64,"530,500,000.00"
"Sep 14, 2018",105.66,"530,500,000.00"
"Sep 13, 2018",105.81,"530,400,000.00"
"Sep 12, 2018",105.76,"529,800,000.00"
"Sep 11, 2018",105.64,"529,500,000.00"
"Sep 10, 2018",105.85,"529,400,000.00"
"Sep 07, 2018",105.77,"529,300,000.00"
"Sep 06, 2018",106.13,"529,100,000.00"
"Sep 05, 2018",105.96,"528,900,000.00"
"Sep 04, 2018",105.95,"528,800,000.00"
"Aug 31, 2018",106.47,"528,600,000.00"
"Aug 30, 2018",106.44,"528,500,000.00"
"Aug 29, 2018",106.33,"528,400,000.00"
"Aug 28, 2018",106.33,"528,300,000.00"
"Aug 27, 2018",106.52,"528,200,000.00"
"Aug 24, 2018",106.60,"528,200,000.00"
"Aug 23, 2018",106.62,"528,100,000.00"
"Aug 22, 2018",106.60,"529,000,000.00"
"Aug 21, 2018",106.51,"529,000,000.00"
"Aug 20, 2018",106.62,"528,900,000.00"
"Aug 17, 2018",106.32,"528,800,000.00"
"Aug 16, 2018",106.30,"528,800,000.00"
"Aug 15, 2018",106.35,"530,300,000.00"
"Aug 14, 2018",106.14,"530,200,000.00"
"Aug 13, 2018",106.21,"528,700,000.00"
"Aug 10, 2018",106.34,"528,600,000.00"
"Aug 09, 2018",105.97,"528,600,000.00"
"Aug 08, 2018",105.81,"528,600,000.00"
"Aug 07, 2018",105.81,"527,900,000.00"
"Aug 06, 2018",106.00,"527,900,000.00"
"Aug 03, 2018",105.89,"527,700,000.00"
"Aug 02, 2018",105.68,"527,300,000.00"
"Aug 01, 2018",105.59,"527,200,000.00"
"Jul 31, 2018",106.04,"527,100,000.00"
"Jul 30, 2018",105.94,"526,600,000.00"
"Jul 27, 2018",105.99,"526,500,000.00"
"Jul 26, 2018",105.90,"526,400,000.00"
