Description,Exchange_Name,Commodity_Indicator,Product_Description,Future_Option_Indicator,CME__Globex__Volume,Pit_Volume,ExPit_Volume,OTC_Volume,Total_Volume,MTD_ADV,Open_Interest,trade_date
INTEREST RATES,Chicago Mercantile Exchange (STATS),ED,EURODOLLAR FUTURE,F,1481372.0,10650.0,0.0,17000.0,1509022.0,1509022.0,10993765.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),21,10Y NOTE FUTURE,F,1205668.0,8255.0,0.0,39250.0,1253173.0,1253173.0,3667670.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),25,5Y NOTE FUTURE,F,662428.0,4874.0,0.0,69355.0,736657.0,736657.0,4273132.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),26,2Y NOTE FUTURE,F,446168.0,0.0,0.0,100151.0,546319.0,546319.0,3590208.0,20200102
INTEREST RATES,Chicago Mercantile Exchange (STATS),ED,EURODOLLAR CALL,O,108644.0,279890.0,0.0,0.0,388534.0,388534.0,19787913.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),17,30Y BOND FUTURE,F,271265.0,648.0,0.0,7847.0,279760.0,279760.0,1012708.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),41,30D FED FD FUTURE,F,178969.0,0.0,0.0,3100.0,182069.0,182069.0,1928811.0,20200102
INTEREST RATES,Chicago Mercantile Exchange (STATS),ED,EURODOLLAR PUT,O,107895.0,62114.0,0.0,0.0,170009.0,170009.0,16425150.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),TN,ULTRA 10-YEAR U.S. TNOTE FUT,F,147333.0,0.0,0.0,9865.0,157198.0,157198.0,922490.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),21,10Y NOTE PUT,O,117053.0,32543.0,0.0,0.0,149596.0,149596.0,1182756.0,20200102
INTEREST RATES,Chicago Mercantile Exchange (STATS),E0,1YR MIDCRV CALL,O,93931.0,51950.0,0.0,0.0,145881.0,145881.0,3680060.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),21,10Y NOTE CALL,O,115988.0,16334.0,0.0,0.0,132322.0,132322.0,1759733.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),UBE,ULTRA T-BND FUT,F,109456.0,0.0,0.0,22521.0,131977.0,131977.0,1246153.0,20200102
INTEREST RATES,Chicago Mercantile Exchange (STATS),E2,2YR MIDCRV PUT,O,43719.0,24500.0,0.0,0.0,68219.0,68219.0,1199637.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),25,5Y NOTE CALL,O,26392.0,32418.0,0.0,0.0,58810.0,58810.0,528519.0,20200102
INTEREST RATES,Chicago Mercantile Exchange (STATS),E2,2YR MIDCRV CALL,O,39319.0,12485.0,0.0,0.0,51804.0,51804.0,875330.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),TY2,10Y WK2 NOT PUT,O,36849.0,11300.0,0.0,0.0,48149.0,48149.0,51294.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),17,30Y BOND PUT,O,34069.0,11906.0,0.0,0.0,45975.0,45975.0,491944.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),25,5Y TRS NT PUT,O,23696.0,20977.0,0.0,0.0,44673.0,44673.0,950156.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),TY3,10Y WK3 NOTE PUT,O,32963.0,11200.0,0.0,0.0,44163.0,44163.0,46406.0,20200102
INTEREST RATES,Chicago Mercantile Exchange (STATS),E0,1YR MIDCRV PUT,O,4885.0,32739.0,0.0,0.0,37624.0,37624.0,1593543.0,20200102
INTEREST RATES,Chicago Mercantile Exchange (STATS),SR1,ONE-MONTH SOFR FUTURES,F,23059.0,0.0,0.0,2200.0,25259.0,25259.0,376110.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),TY1,10Y WK1 NOTE CALL,O,18718.0,5000.0,0.0,0.0,23718.0,23718.0,40227.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),TY1,10Y WK1 NOTE PUT,O,18520.0,4900.0,0.0,0.0,23420.0,23420.0,63469.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),17,30Y BOND CALL,O,16622.0,3496.0,0.0,0.0,20118.0,20118.0,303613.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),US1,30Y WK1 BOND CALL,O,10016.0,1500.0,0.0,0.0,11516.0,11516.0,16787.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),US1,30Y WK1 BOND PUT,O,9464.0,450.0,0.0,0.0,9914.0,9914.0,23171.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),WY2,WK 2 CALL WEDS 10 YR TREASURY NOTE OPTIONS,O,2277.0,6350.0,0.0,0.0,8627.0,8627.0,6918.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),TY3,10Y WK3 NOTE CALL,O,7596.0,0.0,0.0,0.0,7596.0,7596.0,14274.0,20200102
INTEREST RATES,Chicago Mercantile Exchange (STATS),SON,QUARTERLY IMM SONIA FUTURES,F,6395.0,0.0,0.0,0.0,6395.0,6395.0,15266.0,20200102
INTEREST RATES,Chicago Mercantile Exchange (STATS),E3,3YR MIDCRV CALL,O,1265.0,4700.0,0.0,0.0,5965.0,5965.0,527002.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),TY2,10Y WK2 NOTE CALL,O,5327.0,0.0,0.0,0.0,5327.0,5327.0,53823.0,20200102
INTEREST RATES,Chicago Mercantile Exchange (STATS),E3,3YR MIDCRV PUT,O,678.0,4310.0,0.0,0.0,4988.0,4988.0,456614.0,20200102
INTEREST RATES,Chicago Mercantile Exchange (STATS),SR3,THREE-MONTH SOFR FUTURES,F,4574.0,0.0,0.0,0.0,4574.0,4574.0,130546.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),US2,30Y WK2 BOND PUT,O,4513.0,0.0,0.0,0.0,4513.0,4513.0,16698.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),US2,30Y WK2 BOND CALL,O,3747.0,400.0,0.0,0.0,4147.0,4147.0,8869.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),FV1,5Y WK1 NOTE PUT,O,3981.0,0.0,0.0,0.0,3981.0,3981.0,14425.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),FV2,5Y WK2 NOTE CALL,O,2923.0,0.0,0.0,0.0,2923.0,2923.0,14131.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),WY2,WK 2 PUT WEDS 10 YR TREASURY NOTE OPTIONS,O,937.0,1750.0,0.0,0.0,2687.0,2687.0,2501.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),FV2,5Y WK2 NOTE PUT,O,2446.0,0.0,0.0,0.0,2446.0,2446.0,10656.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),26,2Y NOTE PUT,O,2336.0,0.0,0.0,0.0,2336.0,2336.0,190285.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),FV1,5Y WK1 NOTE CALL,O,2245.0,0.0,0.0,0.0,2245.0,2245.0,8318.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),WB2,WK 2 PUT WEDS 30 YR TREASURY BOND OPTIONS,O,1196.0,800.0,0.0,0.0,1996.0,1996.0,1655.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),US3,30Y WK3 BOND CALL,O,1959.0,0.0,0.0,0.0,1959.0,1959.0,3257.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),F1U,5 YEAR DELIVERABLE INTEREST RATE SWAP FUTURE,F,1205.0,0.0,0.0,0.0,1205.0,1205.0,16429.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),FV3,5Y WK3 NOTE PUT,O,1145.0,0.0,0.0,0.0,1145.0,1145.0,2059.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),N1U,10 YEAR DELIVERABLE INTEREST RATE SWAP FUTURE,F,1041.0,0.0,0.0,0.0,1041.0,1041.0,68694.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),WF2,WK 2 CALL WEDS 5 YR TREASURY NOTE OPTIONS,O,818.0,0.0,0.0,0.0,818.0,818.0,858.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),LIW,5-YEAR ERIS SWAP FUTURES,F,716.0,0.0,0.0,0.0,716.0,716.0,47163.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),FV3,5Y WK3 NOTE CALL,O,538.0,0.0,0.0,0.0,538.0,538.0,1962.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),US3,30Y WK3 BOND PUT,O,480.0,0.0,0.0,0.0,480.0,480.0,2392.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),WB2,WK 2 CALL WEDS 30 YR TREASURY BOND OPTIONS,O,401.0,0.0,0.0,0.0,401.0,401.0,402.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),WF2,WK 2 PUT WEDS 5 YR TREASURY NOTE OPTIONS,O,328.0,0.0,0.0,0.0,328.0,328.0,328.0,20200102
INTEREST RATES,Chicago Mercantile Exchange (STATS),MPC,MPC SONIA FUTURES,F,301.0,0.0,0.0,0.0,301.0,301.0,2043.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),26,2Y NOTE CALL,O,225.0,40.0,0.0,0.0,265.0,265.0,62074.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),LIY,10-YEAR ERIS SWAP FUTURES,F,246.0,0.0,0.0,0.0,246.0,246.0,90860.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),LIB,7-YEAR ERIS SWAP FUTURES,F,50.0,0.0,0.0,0.0,50.0,50.0,18753.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),LIC,3-YEAR ERIS SWAP FUTURES,F,30.0,0.0,0.0,0.0,30.0,30.0,11957.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),UBE,ULTRA T-BND PUT,O,0.0,8.0,0.0,0.0,8.0,8.0,28684.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),LIE,30-YEAR ERIS SWAP FUTURES,F,4.0,0.0,0.0,0.0,4.0,4.0,2864.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),UBE,ULTRA T-BND CALL,O,2.0,0.0,0.0,0.0,2.0,2.0,567.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),TW3,2Y WK3 NOTE CALL,O,1.0,0.0,0.0,0.0,1.0,1.0,1.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),41,30D FED FD CALL,O,0.0,0.0,0.0,0.0,0.0,0.0,5714.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),41,30D FED FD PUT,O,0.0,0.0,0.0,0.0,0.0,0.0,276.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),LID,4-YEAR ERIS SWAP FUTURES,F,0.0,0.0,0.0,0.0,0.0,0.0,6907.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),LIL,15-YEAR ERIS SWAP FUTURES,F,0.0,0.0,0.0,0.0,0.0,0.0,10850.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),LIO,20-YEAR ERIS SWAP FUTURES,F,0.0,0.0,0.0,0.0,0.0,0.0,90.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),LIT,2-YEAR ERIS SWAP FUTURE,F,0.0,0.0,0.0,0.0,0.0,0.0,38545.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),TN,ULTRA 10-YEAR U.S. TNOTE CALL,O,0.0,0.0,0.0,0.0,0.0,0.0,7253.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),TN,ULTRA 10-YEAR U.S. TNOTE PUT,O,0.0,0.0,0.0,0.0,0.0,0.0,264.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),WB1,WK 1 CALL WEDS 30 YR TREASURY BOND OPTIONS,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),WB1,WK 1 PUT WEDS 30 YR TREASURY BOND OPTIONS,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),WF1,WK 1 CALL WEDS 5 YR TREASURY NOTE OPTIONS,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),WF1,WK 1 PUT WEDS 5 YR TREASURY NOTE OPTIONS,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),WY1,WK 1 CALL WEDS 10 YR TREASURY NOTE OPTIONS,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200102
INTEREST RATES,Chicago Board of Trade (STATS),WY1,WK 1 PUT WEDS 10 YR TREASURY NOTE OPTIONS,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200102
INTEREST RATES,Chicago Mercantile Exchange (STATS),E4,4YR MIDCRV CALL,O,0.0,0.0,0.0,0.0,0.0,0.0,32788.0,20200102
INTEREST RATES,Chicago Mercantile Exchange (STATS),E4,4YR MIDCRV PUT,O,0.0,0.0,0.0,0.0,0.0,0.0,11840.0,20200102
INTEREST RATES,Chicago Mercantile Exchange (STATS),EM,1MTH LIBOR FUTURE,F,0.0,0.0,0.0,0.0,0.0,0.0,32.0,20200102
INTEREST RATES,Chicago Mercantile Exchange (STATS),TE3,EURODOLLAR 6-MONTH MID-CURVE CALL OPTION,O,0.0,0.0,0.0,0.0,0.0,0.0,750.0,20200102
INTEREST RATES,Chicago Mercantile Exchange (STATS),TE3,EURODOLLAR 6-MONTH MID-CURVE PUT OPTION,O,0.0,0.0,0.0,0.0,0.0,0.0,750.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),ES,E-MINI S&P 500 FUTURE,F,1407927.0,0.0,0.0,13058.0,1420985.0,1420985.0,2756145.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),NQ,E-MINI NASDAQ 100 FUTURE,F,409564.0,0.0,0.0,7500.0,417064.0,417064.0,218868.0,20200102
EQUITY INDEX,Chicago Board of Trade (STATS),YM,MINI $5 DOW FUTURE,F,183785.0,0.0,0.0,500.0,184285.0,184285.0,105939.0,20200102
EQUITY INDEX,Chicago Mercantile Exchange (STATS),MES,MICRO E-MINI S&P 500 FUTURES,F,179000.0,0.0,0.0,0.0,179000.0,179000.0,27886.0,20200102
