Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ATVI, Activision Blizzard Inc, 45.62, -0.43,-0.93, 4629265, -.3,
ADBE, Adobe Inc., 274.28, -2.02,-0.73, 2262827, -.9,
AMD, Advanced Micro Devices Inc., 30.36, -1.03,-3.28, 70373015, -1.0,
ALXN, Alexion Pharmaceuticals Inc., 117.93, 0.69,0.59, 981564, .1,
ALGN, Align Technology Inc., 305.7, -5.37,-1.73, 482664, -.4,
GOOG, Alphabet Inc., 1085.35, -3.42,-0.31, 1111643, -1.0,
GOOGL, Alphabet Inc., 1086.3, -4.71,-0.43, 1229304, -1.2,
AMZN, Amazon.com Inc., 1869.67, -0.63,-0.03, 2851163, -.3,
AAL, American Airlines Group Inc., 32.68, -0.41,-1.24, 6128002, -.2,
AMGN, Amgen Inc., 176.08, -0.63,-0.36, 1621760, -.4,
ADI, Analog Devices Inc., 104.02, -1.76,-1.66, 2327185, -.6,
AAPL, Apple Inc., 192.74, -1.41,-0.73, 18759454, -5.6,
AMAT, Applied Materials Inc., 41.23, -0.42,-1.01, 7695082, -.4,
ASML, ASML Holding N.V., 192.02, -5.91,-2.99, 482308, -.4,
ADSK, Autodesk Inc., 158.16, -4.16,-2.56, 1573772, -.8,
ADP, Automatic Data Processing Inc., 165.54, 1.09,0.66, 1458530, .4,
BIDU, Baidu Inc., 113.08, -0.93,-0.82, 4320166, -.2,
BIIB, Biogen Inc., 227.67, -3.59,-1.55, 1475925, -.7,
BMRN, BioMarin Pharmaceutical Inc., 80.84, -1.52,-1.85, 773273, -.3,
BKNG, Booking Holdings Inc., 1775.5, -34.02,-1.88, 325480, -1.4,
AVGO, Broadcom Inc., 265.93, -15.68,-5.57, 10079576, -5.8,
CDNS, Cadence Design Systems Inc., 67.72, -0.38,-0.56, 2064277, -.1,
CELG, Celgene Corporation, 96.51, 0.07,0.07, 3144560, .1,
CERN, Cerner Corporation, 72.23, -0.25,-0.34, 1682573, -.1,
CHTR, Charter Communications Inc., 392.08, 2.36,0.61, 730465, .5,
CHKP, Check Point Software Technologies Ltd., 113.32, 0.32,0.28, 694957, .1,
CTAS, Cintas Corporation, 236.37, 0.41,0.17, 336137, .0,
CSCO, Cisco Systems Inc., 54.75, -1.42,-2.53, 22530450, -5.8,
CTXS, Citrix Systems Inc., 96.79, 0.04,0.04, 1213777, .0,
CTSH, Cognizant Technology Solutions Corporation, 61.64, -0.7,-1.12, 5452017, -.4,
CMCSA, Comcast Corporation, 42.31, 0.62,1.49, 20943662, 2.6,
COST, Costco Wholesale Corporation, 260.15, 0.44,0.17, 1288089, .2,
CSX, CSX Corporation, 77.17, -0.47,-0.61, 2798772, -.4,
CTRP, Ctrip.com International Ltd., 33.47, -1.07,-3.1, 4854943, -.5,
DLTR, Dollar Tree Inc., 110.31, 1.65,1.52, 3320795, .4,
EBAY, eBay Inc., 38.91, -0.09,-0.23, 7550088, -.1,
EA, Electronic Arts Inc., 92.73, -0.84,-0.9, 3297391, -.2,
EXPE, Expedia Group Inc., 126.81, 1.18,0.94, 1632481, .2,
FB, Facebook Inc., 181.33, 3.86,2.18, 16773691, 7.8,
FAST, Fastenal Company, 31.65, -1.08,-3.3, 3531864, -.6,
FISV, Fiserv Inc., 89.2, 0.54,0.61, 1806939, .2,
FOX, Fox Corporation, 34.96, 0.02,0.06, 2414743, .0,
FOXA, Fox Corporation, 35.24, -0.05,-0.14, 4362253, .0,
GILD, Gilead Sciences Inc., 66.36, -0.63,-0.94, 5333804, -.7,
HAS, Hasbro Inc., 107.46, -0.06,-0.06, 556838, .0,
HSIC, Henry Schein Inc., 71.28, -0.11,-0.15, 654482, .0,
IDXX, IDEXX Laboratories Inc., 267.74, 0.58,0.22, 284212, .1,
ILMN, Illumina Inc., 344, 2.72,0.8, 741368, .4,
INCY, Incyte Corporation, 77.71, 1.34,1.75, 1250414, .3,
INTC, Intel Corporation, 46.19, -0.51,-1.09, 15380446, -2.1,
INTU, Intuit Inc., 254.13, -3.06,-1.19, 1234221, -.7,
ISRG, Intuitive Surgical Inc., 496.54, -9.06,-1.79, 641668, -1.0,
JBHT, J.B. Hunt Transport Services Inc., 90.85, 0.79,0.88, 1082952, .1,
JD, JD.com Inc., 27.05, -0.49,-1.78, 9140221, -.4,
KLAC, KLA-Tencor Corporation, 109.7, -1.24,-1.12, 1190961, -.2,
LRCX, Lam Research Corporation, 176.8, -3.39,-1.88, 2187499, -.5,
LBTYA, Liberty Global plc, 26.71, 0.33,1.25, 1359863, .1,
LBTYK, Liberty Global plc, 25.92, 0.29,1.13, 1590930, .1,
LULU, lululemon athletica inc., 176.71, 2.19,1.25, 3635664, .3,
MAR, Marriott International, 133.68, 0.06,0.04, 872550, .0,
MXIM, Maxim Integrated Products Inc., 56.05, -1.85,-3.2, 2209781, -.5,
MELI, MercadoLibre Inc., 616, -19.59,-3.08, 621995, -.8,
MCHP, Microchip Technology Incorporated, 83.19, -0.91,-1.08, 3422997, -.2,
MU, Micron Technology Inc., 32.66, -0.72,-2.16, 19714950, -.8,
MSFT, Microsoft Corporation, 132.45, 0.13,0.1, 17821421, .8,
MDLZ, Mondelez International Inc., 55.05, 0.4,0.73, 4724726, .5,
MNST, Monster Beverage Corporation, 61.33, 0.73,1.2, 3756874, .4,
MYL, Mylan N.V., 17.02, -0.36,-2.07, 4400013, -.2,
NTAP, NetApp Inc., 60.98, -1.18,-1.9, 1966460, -.3,
NTES, NetEase Inc., 265.94, -1.44,-0.54, 967038, -.1,
NFLX, Netflix Inc., 339.73, -3.7,-1.08, 5019011, -1.5,
NVDA, NVIDIA Corporation, 144.64, -3.62,-2.44, 9860656, -2.0,
NXPI, NXP Semiconductors N.V., 90.89, -3.55,-3.76, 3758684, -1.1,
ORLY, O'Reilly Automotive Inc., 387.96, 0.39,0.1, 448380, .0,
PCAR, PACCAR Inc., 70.02, 0.05,0.07, 837945, .0,
PAYX, Paychex Inc., 86.68, -0.25,-0.29, 1251436, -.1,
PYPL, PayPal Holdings Inc., 116.17, 0.45,0.39, 4241994, .5,
PEP, Pepsico Inc., 132.73, -0.21,-0.16, 3291805, -.3,
QCOM, QUALCOMM Incorporated, 68.72, -1.21,-1.73, 12119380, -1.4,
REGN, Regeneron Pharmaceuticals Inc., 305.24, -2.18,-0.71, 624172, -.2,
ROST, Ross Stores Inc., 100.97, 0.43,0.43, 2562806, .2,
SIRI, Sirius XM Holdings Inc., 5.56, -0.02,-0.36, 18196602, -.1,
SWKS, Skyworks Solutions Inc., 71.8, -1.55,-2.11, 2035841, -.3,
SBUX, Starbucks Corporation, 84.24, 0.89,1.07, 9226463, 1.0,
SYMC, Symantec Corporation, 19.36, -0.22,-1.12, 5290758, -.1,
SNPS, Synopsys Inc., 124.8, -1.18,-0.94, 916746, -.2,
TMUS, T-Mobile US Inc., 74.9, 0.45,0.6, 4813554, .4,
TTWO, Take-Two Interactive Software Inc., 110.36, -0.36,-0.33, 1074628, .0,
TSLA, Tesla Inc., 214.92, 1.01,0.47, 7433402, .2,
TXN, Texas Instruments Incorporated, 107.31, -3.87,-3.48, 7137765, -3.4,
KHC, The Kraft Heinz Company, 30.31, -0.1,-0.33, 11839699, -.1,
ULTA, Ulta Beauty Inc., 354.62, 4.81,1.38, 905076, .3,
UAL, United Continental Holdings Inc., 87.12, 0.01,0.01, 1652511, .0,
VRSN, VeriSign Inc., 205.2, -0.17,-0.08, 620941, .0,
VRSK, Verisk Analytics Inc., 145.83, 0.49,0.34, 896062, .1,
VRTX, Vertex Pharmaceuticals Incorporated, 170.22, 1.33,0.79, 806077, .3,
WBA, Walgreens Boots Alliance Inc., 52.57, -0.32,-0.61, 3246332, -.3,
WDC, Western Digital Corporation, 36.33, -1.01,-2.7, 5510726, -.3,
WLTW, Willis Towers Watson Public Limited Company, 190.33, 1.62,0.86, 364149, .2,
WDAY, Workday Inc., 208, -0.46,-0.22, 1058570, -.1,
WYNN, Wynn Resorts Limited, 115.61, -1.6,-1.37, 1525538, -.2,
XEL, Xcel Energy Inc., 60.03, 0.58,0.98, 3163068, .3,
XLNX, Xilinx Inc., 105.42, -2.93,-2.7, 3032769, -.7,
