Symbol,Name,LastSale, MarketCap ,ADR TSO,IPOyear,Sector,Industry,Summary Quote
KPFS,"Pepper Food Service Co., Ltd.",3.4," 86,700 ",25500,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/kpfs
ESGRO,Enstar Group Limited,25.67," 112,948 ",n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/esgro
SBFGP,"SB Financial Group, Inc.",16.5," 247,418 ",n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sbfgp
AGNCN,AGNC Investment Corp.,26.28," 341,640 ",n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncn
FTEO,"FRONTEO, Inc.",7.05," 403,711 ",57264,2013,Technology,EDP Services,https://www.nasdaq.com/symbol/fteo
ESGRP,Enstar Group Limited,26.13," 418,080 ",n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/esgrp
ASRVP,AmeriServ Financial Inc.,29.57," 620,970 ",n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/asrvp
MTP,Midatech Pharma PLC,1.4," 705,187 ",503705,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mtp
OASM,Oasmia Pharmaceutical AB,1.3001," 709,193 ",545491,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/oasm
CIVBP,"Civista Bancshares, Inc. ",72.5," 733,700 ",n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/civbp
IMRN,Immuron Limited,2.8," 929,096 ",331820,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/imrn
JFKKW,8i Enterprises Acquisition Corp,0.18," 1,035,000 ",n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkw
SHIPZ,Seanergy Maritime Holdings Corp,0.2," 1,204,706 ",n/a,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/shipz
SEED,Origin Agritech Limited,5.66," 1,321,219 ",n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/seed
CYCCP,"Cyclacel Pharmaceuticals, Inc.",4.89," 1,639,485 ",n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cyccp
BNTC,Benitec Biopharma Limited,0.8458," 1,644,801 ",1944669,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/bntc
SFET,Safe-T Group Ltd.,1.75," 1,741,500 ",995143,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/sfet
SHIP,Seanergy Maritime Holdings Corp,0.65," 1,825,995 ",n/a,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/ship
FPXE,First Trust IPOX Europe Equity Opportunities ETF,19.79," 1,979,040 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/fpxe
BCNA,Reality Shares Nasdaq NexGen Economy China ETF,20.63," 2,063,021 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bcna
FTXG,First Trust Nasdaq Food & Beverage ETF,20.6964," 2,069,681 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ftxg
FKO,First Trust South Korea AlphaDEX Fund,21.45," 2,145,043 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/fko
IUSS,Invesco RAFI Strategic US Small Company ETF,23.114," 2,311,423 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iuss
HERD,Pacer Cash Cows Fund of Funds ETF,23.92," 2,392,000 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/herd
ECOW,Pacer Emerging Markets Cash Cows 100 ETF,24.35," 2,435,000 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ecow
SINT,"SiNtx Technologies, Inc.",0.119," 2,593,443 ",n/a,2014,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/sint
BLIN          ,"Bridgeline Digital, Inc.",2.75," 2,614,266 ",n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/blin
HBANN,Huntington Bancshares Incorporated,26.1592," 2,615,920 ",n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/hbann
BKCH,AdvisorShares Sabretooth ETF,26.64," 2,664,000 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bkch
EBIZ,Global X E-commerce ETF,17.8927," 2,683,744 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ebiz
VETS,Pacer Military Times Best Employers ETF,28.61," 2,861,000 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vets
VISL,"Vislink Technologies, Inc.",1.53," 2,952,192 ",n/a,2013,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/visl
