As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Feb 20, 2019",--,15.04,--,"328,600,000.00"
"Feb 19, 2019","1,578.00",14.80,--,"328,600,000.00"
"Feb 15, 2019","1,567.50",14.70,--,"327,600,000.00"
"Feb 14, 2019","1,558.00",14.61,--,"327,600,000.00"
"Feb 13, 2019","1,569.50",14.72,--,"327,150,000.00"
"Feb 12, 2019","1,581.00",14.83,--,"328,150,000.00"
"Feb 11, 2019","1,570.50",14.73,--,"328,150,000.00"
"Feb 08, 2019","1,578.00",14.80,--,"329,350,000.00"
"Feb 07, 2019","1,571.00",14.74,--,"330,050,000.00"
"Feb 06, 2019","1,573.00",14.76,--,"330,050,000.00"
"Feb 05, 2019","1,586.50",14.88,--,"331,050,000.00"
"Feb 04, 2019","1,574.50",14.77,--,"331,050,000.00"
"Feb 01, 2019","1,601.00",15.02,--,"331,050,000.00"
"Jan 31, 2019","1,607.50",15.08,--,"331,050,000.00"
"Jan 30, 2019","1,591.50",14.93,--,"329,850,000.00"
"Jan 29, 2019","1,585.50",14.88,--,"328,850,000.00"
"Jan 28, 2019","1,568.50",14.72,--,"327,350,000.00"
"Jan 25, 2019","1,537.50",14.43,--,"327,350,000.00"
"Jan 24, 2019","1,530.00",14.36,--,"327,350,000.00"
"Jan 23, 2019","1,538.50",14.44,--,"327,350,000.00"
"Jan 22, 2019","1,526.00",14.32,--,"328,350,000.00"
"Jan 18, 2019","1,547.00",14.52,--,"327,200,000.00"
"Jan 17, 2019","1,557.50",14.62,--,"327,200,000.00"
"Jan 16, 2019","1,554.00",14.58,--,"331,350,000.00"
"Jan 15, 2019","1,560.00",14.64,--,"333,650,000.00"
"Jan 14, 2019","1,561.50",14.65,--,"334,150,000.00"
"Jan 11, 2019","1,568.00",14.72,--,"334,150,000.00"
"Jan 10, 2019","1,570.50",14.74,--,"334,150,000.00"
"Jan 09, 2019","1,562.00",14.66,--,"334,150,000.00"
"Jan 08, 2019","1,564.00",14.68,--,"335,350,000.00"
"Jan 07, 2019","1,575.00",14.78,--,"335,350,000.00"
"Jan 04, 2019","1,570.50",14.74,--,"337,850,000.00"
"Jan 03, 2019","1,553.50",14.58,--,"337,850,000.00"
"Jan 02, 2019","1,544.00",14.49,--,"337,850,000.00"
"Dec 31, 2018","1,546.50",14.52,--,"337,850,000.00"
"Dec 28, 2018","1,529.50",14.36,--,"337,850,000.00"
"Dec 27, 2018","1,505.50",14.13,--,"337,850,000.00"
"Dec 26, 2018",--,13.77,--,"337,850,000.00"
"Dec 24, 2018","1,467.50",13.77,--,"337,850,000.00"
"Dec 21, 2018","1,469.00",13.79,--,"337,750,000.00"
"Dec 20, 2018","1,477.00",13.86,--,"337,750,000.00"
"Dec 19, 2018","1,464.50",13.75,--,"339,250,000.00"
"Dec 18, 2018","1,465.50",13.76,--,"338,450,000.00"
"Dec 17, 2018","1,460.00",13.71,--,"338,450,000.00"
"Dec 14, 2018","1,458.00",13.69,--,"339,450,000.00"
"Dec 13, 2018","1,468.00",13.78,--,"339,450,000.00"
"Dec 12, 2018","1,465.50",13.76,--,"339,450,000.00"
"Dec 11, 2018","1,464.00",13.74,--,"339,450,000.00"
"Dec 10, 2018","1,453.00",13.64,--,"339,450,000.00"
"Dec 07, 2018","1,448.50",13.60,--,"339,450,000.00"
"Dec 06, 2018","1,438.00",13.50,--,"339,450,000.00"
"Dec 04, 2018","1,454.50",13.66,--,"342,450,000.00"
"Dec 03, 2018","1,438.50",13.51,--,"342,450,000.00"
"Nov 30, 2018","1,423.50",13.37,--,"342,450,000.00"
"Nov 29, 2018","1,426.50",13.39,--,"343,750,000.00"
"Nov 28, 2018","1,415.00",13.29,--,"343,750,000.00"
"Nov 27, 2018","1,427.50",13.40,--,"343,550,000.00"
"Nov 26, 2018","1,438.00",13.50,--,"346,000,000.00"
"Nov 23, 2018","1,425.50",13.39,--,"346,000,000.00"
"Nov 21, 2018","1,442.00",13.54,--,"346,000,000.00"
"Nov 20, 2018","1,444.00",13.56,--,"346,000,000.00"
"Nov 19, 2018","1,436.00",13.49,--,"345,400,000.00"
"Nov 16, 2018","1,428.50",13.42,--,"345,400,000.00"
"Nov 15, 2018","1,413.00",13.27,--,"345,400,000.00"
"Nov 14, 2018","1,397.00",13.12,--,"345,400,000.00"
"Nov 13, 2018","1,402.00",13.17,--,"345,400,000.00"
"Nov 12, 2018","1,416.00",13.30,--,"345,750,000.00"
"Nov 09, 2018","1,434.00",13.47,--,"346,750,000.00"
"Nov 08, 2018","1,449.00",13.61,--,"346,750,000.00"
"Nov 07, 2018","1,467.00",13.78,--,"347,050,000.00"
"Nov 06, 2018","1,470.00",13.81,--,"347,050,000.00"
"Nov 05, 2018","1,473.50",13.84,--,"347,050,000.00"
"Nov 02, 2018","1,482.00",13.92,--,"348,450,000.00"
"Nov 01, 2018","1,445.00",13.57,--,"348,450,000.00"
"Oct 31, 2018","1,434.00",13.47,--,"349,550,000.00"
"Oct 30, 2018","1,442.50",13.55,--,"349,550,000.00"
"Oct 29, 2018","1,465.00",13.76,--,"349,550,000.00"
"Oct 26, 2018","1,469.00",13.80,--,"351,550,000.00"
"Oct 25, 2018","1,474.00",13.85,--,"351,550,000.00"
"Oct 24, 2018","1,474.50",13.85,--,"351,550,000.00"
"Oct 23, 2018","1,471.50",13.82,--,"352,950,000.00"
"Oct 22, 2018","1,463.00",13.74,--,"355,950,000.00"
"Oct 19, 2018","1,461.00",13.73,--,"355,450,000.00"
"Oct 18, 2018","1,451.50",13.64,--,"355,450,000.00"
"Oct 17, 2018","1,465.00",13.76,--,"354,250,000.00"
"Oct 16, 2018","1,475.50",13.86,--,"354,250,000.00"
"Oct 15, 2018","1,474.00",13.85,--,"354,250,000.00"
"Oct 12, 2018","1,460.00",13.72,--,"354,250,000.00"
"Oct 11, 2018","1,440.00",13.53,--,"354,250,000.00"
"Oct 10, 2018","1,437.50",13.51,--,"354,250,000.00"
"Oct 09, 2018","1,432.50",13.46,--,"354,250,000.00"
"Oct 08, 2018","1,446.50",13.59,--,"354,250,000.00"
"Oct 05, 2018","1,463.50",13.75,--,"354,850,000.00"
"Oct 04, 2018","1,463.00",13.75,--,"354,850,000.00"
"Oct 03, 2018","1,473.50",13.85,--,"356,250,000.00"
"Oct 02, 2018","1,450.50",13.63,--,"354,250,000.00"
"Oct 01, 2018","1,455.00",13.67,--,"354,250,000.00"
"Sep 28, 2018","1,430.50",13.44,--,"354,250,000.00"
"Sep 27, 2018","1,442.00",13.55,--,"354,250,000.00"
"Sep 26, 2018","1,447.50",13.60,--,"354,800,000.00"
"Sep 25, 2018","1,429.00",13.43,--,"356,350,000.00"
"Sep 24, 2018","1,431.50",13.45,--,"358,100,000.00"
"Sep 21, 2018","1,433.00",13.47,--,"358,100,000.00"
"Sep 20, 2018","1,423.00",13.37,--,"358,100,000.00"
"Sep 19, 2018","1,418.50",13.33,--,"356,300,000.00"
"Sep 18, 2018","1,421.00",13.36,--,"356,300,000.00"
"Sep 17, 2018","1,417.00",13.32,--,"356,300,000.00"
"Sep 14, 2018","1,421.50",13.36,--,"356,300,000.00"
"Sep 13, 2018","1,422.50",13.37,--,"356,300,000.00"
"Sep 12, 2018","1,415.50",13.31,--,"354,900,000.00"
"Sep 11, 2018","1,412.50",13.28,--,"354,900,000.00"
"Sep 10, 2018","1,421.50",13.36,--,"354,900,000.00"
"Sep 07, 2018","1,418.50",13.33,--,"353,900,000.00"
"Sep 06, 2018","1,426.50",13.41,--,"353,900,000.00"
"Sep 05, 2018","1,417.00",13.32,--,"350,700,000.00"
"Sep 04, 2018","1,425.00",13.40,--,"350,700,000.00"
"Aug 31, 2018","1,465.50",13.78,--,"350,700,000.00"
"Aug 30, 2018","1,466.50",13.79,--,"350,700,000.00"
"Aug 29, 2018","1,469.00",13.81,--,"349,900,000.00"
"Aug 28, 2018","1,490.00",14.01,--,"349,900,000.00"
"Aug 27, 2018",--,13.75,--,"349,900,000.00"
"Aug 24, 2018","1,462.00",13.75,--,"349,900,000.00"
"Aug 23, 2018","1,462.50",13.75,--,"349,900,000.00"
"Aug 22, 2018","1,481.00",13.93,--,"349,900,000.00"
"Aug 21, 2018","1,478.50",13.90,--,"349,900,000.00"
"Aug 20, 2018","1,475.50",13.87,--,"349,900,000.00"
"Aug 17, 2018","1,466.00",13.79,--,"349,900,000.00"
"Aug 16, 2018","1,460.50",13.73,--,"349,900,000.00"
"Aug 15, 2018","1,482.50",13.94,--,"347,900,000.00"
"Aug 14, 2018","1,503.50",14.14,--,"347,900,000.00"
"Aug 13, 2018","1,518.50",14.28,--,"347,900,000.00"
"Aug 10, 2018","1,537.50",14.46,--,"347,900,000.00"
"Aug 09, 2018","1,548.00",14.56,--,"349,200,000.00"
"Aug 08, 2018","1,534.50",14.43,--,"349,200,000.00"
"Aug 07, 2018","1,546.50",14.54,--,"349,200,000.00"
"Aug 06, 2018","1,534.50",14.43,--,"351,200,000.00"
"Aug 03, 2018","1,536.00",14.45,--,"350,100,000.00"
"Aug 02, 2018","1,545.00",14.53,--,"350,100,000.00"
"Aug 01, 2018","1,547.50",14.56,--,"350,100,000.00"
"Jul 31, 2018","1,543.00",14.51,--,"350,100,000.00"
"Jul 30, 2018","1,549.00",14.57,--,"350,100,000.00"
"Jul 27, 2018","1,535.50",14.44,--,"350,100,000.00"
"Jul 26, 2018","1,553.50",14.61,--,"350,100,000.00"
"Jul 25, 2018","1,556.50",14.64,--,"348,900,000.00"
"Jul 24, 2018","1,551.00",14.59,--,"349,600,000.00"
"Jul 23, 2018","1,548.50",14.57,--,"349,600,000.00"
"Jul 20, 2018","1,537.00",14.46,--,"349,600,000.00"
"Jul 19, 2018","1,526.00",14.36,--,"348,100,000.00"
"Jul 18, 2018","1,544.00",14.52,--,"347,300,000.00"
"Jul 17, 2018","1,577.00",14.84,--,"347,300,000.00"
"Jul 16, 2018","1,581.00",14.87,--,"348,450,000.00"
"Jul 13, 2018","1,581.00",14.87,--,"347,250,000.00"
"Jul 12, 2018","1,584.00",14.90,--,"347,250,000.00"
"Jul 11, 2018","1,591.50",14.97,--,"346,150,000.00"
"Jul 10, 2018","1,593.00",14.99,--,"345,550,000.00"
"Jul 09, 2018","1,620.50",15.25,--,"345,550,000.00"
"Jul 06, 2018","1,599.50",15.05,--,"344,650,000.00"
"Jul 05, 2018","1,595.00",15.01,--,"344,650,000.00"
"Jul 03, 2018","1,593.00",14.99,--,"344,150,000.00"
"Jul 02, 2018","1,598.00",15.04,--,"342,550,000.00"
"Jun 29, 2018","1,603.00",15.08,--,"342,550,000.00"
"Jun 28, 2018","1,611.00",15.16,--,"340,350,000.00"
"Jun 27, 2018","1,621.00",15.25,--,"339,250,000.00"
"Jun 26, 2018","1,622.50",15.27,--,"339,250,000.00"
"Jun 25, 2018","1,637.50",15.41,--,"339,250,000.00"
"Jun 22, 2018","1,642.50",15.46,--,"340,250,000.00"
"Jun 21, 2018","1,624.50",15.29,--,"339,250,000.00"
"Jun 20, 2018","1,628.50",15.33,--,"336,150,000.00"
"Jun 19, 2018","1,635.50",15.39,--,"333,650,000.00"
"Jun 18, 2018","1,660.50",15.63,--,"333,650,000.00"
"Jun 15, 2018","1,722.50",16.21,--,"333,650,000.00"
"Jun 14, 2018","1,712.50",16.12,--,"335,550,000.00"
"Jun 13, 2018","1,690.50",15.91,--,"335,550,000.00"
"Jun 12, 2018","1,685.50",15.86,--,"337,050,000.00"
"Jun 11, 2018","1,676.00",15.78,--,"339,150,000.00"
"Jun 08, 2018","1,672.00",15.74,--,"339,150,000.00"
"Jun 07, 2018","1,674.50",15.76,--,"340,650,000.00"
"Jun 06, 2018","1,654.50",15.57,--,"342,650,000.00"
"Jun 05, 2018","1,638.50",15.42,--,"342,650,000.00"
"Jun 04, 2018","1,644.00",15.48,--,"342,650,000.00"
"Jun 01, 2018","1,642.00",15.46,--,"341,950,000.00"
"May 31, 2018","1,655.00",15.58,--,"341,950,000.00"
"May 30, 2018","1,637.00",15.41,--,"341,950,000.00"
"May 29, 2018","1,647.50",15.51,--,"339,750,000.00"
"May 25, 2018","1,667.00",15.69,--,"339,750,000.00"
"May 24, 2018","1,651.00",15.54,--,"340,850,000.00"
"May 23, 2018","1,653.00",15.56,--,"340,850,000.00"
"May 22, 2018","1,658.00",15.61,--,"340,850,000.00"
"May 21, 2018","1,634.00",15.38,--,"340,850,000.00"
"May 18, 2018","1,639.00",15.43,--,"340,850,000.00"
"May 17, 2018","1,638.50",15.43,--,"341,850,000.00"
"May 16, 2018","1,625.50",15.31,--,"341,350,000.00"
"May 15, 2018","1,641.00",15.45,--,"339,350,000.00"
"May 14, 2018","1,664.50",15.67,--,"339,350,000.00"
"May 11, 2018","1,676.00",15.78,--,"340,250,000.00"
"May 10, 2018","1,660.00",15.63,--,"343,250,000.00"
"May 09, 2018","1,644.00",15.48,--,"343,250,000.00"
"May 08, 2018","1,644.50",15.49,--,"343,250,000.00"
"May 07, 2018",--,15.46,--,"343,250,000.00"
"May 04, 2018","1,641.50",15.46,--,"344,250,000.00"
"May 03, 2018","1,646.50",15.51,--,"342,950,000.00"
"May 02, 2018","1,635.00",15.40,--,"342,950,000.00"
"May 01, 2018","1,625.00",15.30,--,"336,350,000.00"
"Apr 30, 2018","1,638.00",15.43,--,"336,350,000.00"
"Apr 27, 2018","1,653.00",15.57,--,"336,350,000.00"
"Apr 26, 2018","1,657.50",15.61,--,"336,350,000.00"
"Apr 25, 2018","1,656.50",15.60,--,"336,350,000.00"
"Apr 24, 2018","1,659.50",15.63,--,"336,350,000.00"
"Apr 23, 2018","1,693.50",15.95,--,"334,650,000.00"
"Apr 20, 2018","1,711.00",16.12,--,"336,150,000.00"
"Apr 19, 2018","1,719.50",16.20,--,"337,350,000.00"
"Apr 18, 2018","1,694.50",15.96,--,"339,850,000.00"
"Apr 17, 2018","1,662.50",15.66,--,"339,850,000.00"
"Apr 16, 2018","1,660.00",15.64,--,"339,850,000.00"
"Apr 13, 2018","1,650.50",15.55,--,"339,850,000.00"
"Apr 12, 2018","1,665.50",15.69,--,"339,850,000.00"
"Apr 11, 2018","1,656.50",15.60,--,"339,850,000.00"
"Apr 10, 2018","1,649.00",15.53,--,"339,850,000.00"
"Apr 09, 2018","1,634.00",15.39,--,"339,850,000.00"
"Apr 06, 2018","1,627.50",15.33,--,"339,850,000.00"
"Apr 05, 2018","1,630.50",15.36,--,"339,850,000.00"
"Apr 04, 2018","1,646.00",15.51,--,"338,450,000.00"
"Apr 03, 2018","1,652.00",15.56,--,"338,450,000.00"
"Apr 02, 2018",--,15.34,--,"338,450,000.00"
"Mar 29, 2018","1,628.00",15.34,--,"338,450,000.00"
"Mar 28, 2018","1,645.50",15.50,--,"337,450,000.00"
"Mar 27, 2018","1,664.00",15.68,--,"337,450,000.00"
"Mar 26, 2018","1,661.00",15.65,--,"337,450,000.00"
"Mar 23, 2018","1,653.00",15.58,--,"337,450,000.00"
"Mar 22, 2018","1,652.00",15.57,--,"339,150,000.00"
"Mar 21, 2018","1,624.50",15.31,--,"339,150,000.00"
"Mar 20, 2018","1,625.00",15.31,--,"339,150,000.00"
"Mar 19, 2018","1,628.50",15.35,--,"339,150,000.00"
"Mar 16, 2018","1,647.50",15.53,--,"338,450,000.00"
"Mar 15, 2018","1,652.00",15.57,--,"338,450,000.00"
"Mar 14, 2018","1,660.50",15.65,--,"338,450,000.00"
